# ID  name  B  Berr  V  Verr  R  Rerr  I  Ierr  psfMag_u  psfMagErr_u  psfMag_g  psfMagErr_g  psfMag_r  psfMagErr_r  psfMag_i  psfMagErr_i  psfMag_z  psfMagErr_z  good_u  good_g  good_r  good_i  good_z
1-752-40-3-610-75  L107-S45  18.195  0  17.237  0  16.629  0  16.041  0  19.597  0.031  17.722  0.018  16.887  0.016  16.517  0.013  16.3  0.021  1  1  1  1  1
1-752-40-3-610-76  L107-S167  19.085  0  18.512  0  18.069  0  17.685  0  19.78  0.035  18.767  0.055  18.292  0.126  18.117  0.021  18.075  0.031  1  1  1  1  1
1-752-40-3-610-82  L107-S168  19.004  0  18.347  0  17.949  0  17.52  0  19.889  0.035  18.644  0.014  18.134  0.015  17.963  0.013  17.849  0.026  1  1  1  1  1
1-752-40-3-610-85  L107-S44  17.411  0  16.483  0  15.916  0  15.387  0  18.863  0.024  16.95  0.013  16.156  0.015  15.849  0.012  15.684  0.02  1  1  1  1  1
1-752-40-3-610-89  L107-S171  18.972  0  18.251  0  17.809  0  17.366  0  19.918  0.036  18.58  0.014  18.015  0.015  17.802  0.013  17.728  0.025  1  1  1  1  1
1-752-40-3-610-94  L107-S177  19.204  0  18.573  0  0  0  17.738  0  19.889  0.036  18.837  0.015  18.369  0.016  18.193  0.013  18.093  0.028  1  1  1  1  1
1-752-40-3-610-96  L107-S178  18.351  0  17.392  0  16.797  0  16.26  0  19.919  0.036  17.881  0.013  17.035  0.015  16.718  0.012  16.56  0.021  1  1  1  1  1
1-752-40-3-610-113  L107-S347  18.984  0  17.983  0  17.322  0  16.746  0  20.65  0.058  18.508  0.024  17.575  0.033  17.264  0.097  16.983  0.123  1  1  1  0  1
1-752-40-3-610-132  L107-S187  17.533  0  16.899  0  16.478  0  16.075  0  18.353  0.021  17.181  0.013  16.698  0.015  16.493  0.012  16.406  0.02  1  1  1  1  1
1-752-40-3-610-134  L107-S191  17.169  0  16.455  0  16.015  0  15.616  0  18.104  0.021  16.774  0.013  16.221  0.015  16.044  0.012  15.947  0.02  1  1  1  1  1
1-752-40-3-610-136  L107-S190  16.646  0  15.924  0  15.468  0  15.059  0  17.683  0.02  16.245  0.013  15.68  0.015  15.492  0.012  15.374  0.02  1  1  1  1  1
1-752-40-3-610-156  L107-S202  18.321  0  17.472  0  16.976  0  16.492  0  19.599  0.031  17.86  0.013  17.172  0.015  16.916  0.012  16.783  0.021  1  1  1  1  1
1-752-40-3-610-158  L107-S205  17.683  0  16.889  0  16.394  0  15.921  0  18.861  0.024  17.248  0.013  16.62  0.015  16.368  0.012  16.21  0.02  1  1  1  1  1
1-752-40-3-610-166  L107-S207  18.977  0  18.26  0  17.815  0  17.363  0  19.822  0.035  18.573  0.014  18.016  0.015  17.797  0.013  17.662  0.024  1  1  1  1  1
1-752-40-3-610-170  L107-S208  18.115  0  17.083  0  16.378  0  15.814  0  19.822  0.035  17.619  0.013  16.654  0.015  16.284  0.012  16.067  0.02  1  1  1  1  1
1-752-40-3-610-181  L107-S210  18.556  0  17.754  0  17.219  0  16.728  0  19.692  0.033  18.121  0.014  17.46  0.015  17.207  0.012  17.058  0.022  1  1  1  1  1
1-752-40-3-610-190  L107-S214  17.922  0  17.227  0  16.809  0  16.369  0  18.758  0.023  17.501  0.013  16.989  0.015  16.789  0.012  16.71  0.021  1  1  1  1  1
1-752-40-3-610-193  L107-S217  17.36  0  16.673  0  16.272  0  15.829  0  18.174  0.021  16.949  0.013  16.462  0.015  16.259  0.012  16.175  0.02  1  1  1  1  1
1-752-40-3-610-195  L107-S220  18.182  0  17.007  0  16.228  0  15.566  0  19.962  0.038  17.634  0.013  16.523  0.015  16.075  0.012  15.796  0.02  1  1  1  1  1
1-752-40-3-610-197  L107-S221  18.948  0  18.181  0  17.725  0  17.256  0  19.878  0.036  18.51  0.014  17.887  0.015  17.697  0.012  17.588  0.024  1  1  0  1  1
1-752-40-3-610-199  L107-S222  16.88  0  15.936  0  15.366  0  14.827  0  18.252  0.021  16.394  0.013  15.606  0.015  15.299  0.012  15.126  0.02  1  1  1  1  1
1-752-40-3-610-200  L107-S225  19.171  0  18.601  0  18.228  0  17.826  0  19.805  0.035  18.837  0.015  18.422  0.016  18.28  0.013  18.16  0.028  1  1  1  1  1
1-752-40-3-610-201  L107-S226  19.13  0  18.437  0  17.981  0  17.532  0  19.98  0.038  18.733  0.014  18.211  0.016  18.009  0.013  17.856  0.026  1  1  1  1  1
1-752-40-3-610-203  L107-S231  18.519  0  17.851  0  17.437  0  17.006  0  19.393  0.029  18.114  0.014  17.632  0.015  17.434  0.012  17.318  0.023  1  1  1  1  1
